name,rank,year,company_founded,company_name,company_relationship,company_sector,company_type,demographics_age,demographics_gender,location_citizenship,location_country_code,location_gdp,location_region,wealth_type,wealth_worth_in_billions,wealth_how_category,wealth_how_from_emerging,wealth_how_industry,wealth_how_inherited,wealth_how_was_founder,wealth_how_was_political
 William Fung ,452,"2,001.00","1,906.00", Li & Fung Group , relation , supply chain , new ,53, male , Hong Kong , HKG ,"169,000,000,000.00", East Asia , inherited ,1.1, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Andrei Guriev ,466,"2,014.00","1,929.00", Apatit , chairman , fertilizer , privatization ,53, male , Russia , RUS , -   , Europe , privatized and resources ,3.4, Traded Sectors , True , Consumer , nonin , True , True 
 Chung Eui-Sun ,466,"2,014.00","1,967.00", Hyundai , relation/vice chairman , cars , new ,43, male , South Korea , KOR , -   , East Asia , inherited ,3.4, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Daniela Herz ,466,"2,014.00","1,949.00", Maxingvest AG , relation , coffee , new ,60, female , Germany , DEU , -   , Europe , inherited ,3.4, Traded Sectors , True , Consumer , father , True , True 
" Edward Roski, Jr. ",466,"2,014.00","1,948.00", Majestic Realty Co. , relation , real estate , new ,75, male , United States , USA , -   , North America , inherited ,3.4, Financial , True , Real Estate , father , True , True 
 Fredrik Lundberg ,466,"2,014.00","1,944.00", LE Lundbergforetagen AB , relation , construction , new ,62, male , Sweden , SWE , -   , Europe , inherited ,3.4, Financial , True , Real Estate , father , True , True 
 Haim Saban ,466,"2,014.00","1,988.00", Saban Entertainment , founder , media , new ,69, male , United States , USA , -   , North America , fnf ,3.4, Non-Traded Sectors , True , Media , nonin , True , True 
 Han Chang-Woo ,466,"2,014.00","1,957.00", Maruhan ," Chairman, CEO ", gaming , new ,83, male , Japan , JPN , -   , East Asia , fnf ,3.4, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Jim Davis ,466,"2,014.00","1,972.00", New Balance , Chairman , shoes , aquired ,70, male , United States , USA , -   , North America , executive ,3.4, Traded Sectors , True , Consumer , nonin , True , True 
 John Doerr ,466,"2,014.00","1,972.00", Kleinter Perkins Caufield & Byers , employee , venture capitalist , new ,62, male , United States , USA , -   , North America , self-made finance ,3.4, Financial , True , Venture Capital , nonin , True , True 
 John Gandel ,466,"2,014.00","1,939.00", Chadstone Shopping Center , relation , real estate , aquired ,79, male , Australia , AUS , -   , North America , inherited ,3.4, Financial , True , Real Estate , father , True , True 
 Lin Yu-lin ,466,"2,014.00","1,965.00", Hong Tai Group , founder , real estate , new ,78, male , Taiwan , Taiwan , -   , East Asia , self-made finance ,3.4, Financial , True , Real Estate , nonin , True , True 
 Rafael Del Pino y Calvo-Sotelo ,466,"2,014.00","1,952.00", Ferrovial , relation , construction , new ,55, male , Spain , ESP , -   , Europe , inherited ,3.4, Non-Traded Sectors , True , Constrution , father , True , True 
 Ronda Stryker ,466,"2,014.00","1,941.00", Stryker Corporation , relation , medical supplies , new ,59, female , United States , USA , -   , North America , inherited ,3.4, New Sectors , True , Technology-Medical , 3rd generation , True , True 
 Steven Spielberg ,466,"2,014.00","1,994.00", DreamWorks , founder , movies , new ,67, male , United States , USA , -   , North America , fnf ,3.4, Non-Traded Sectors , True , Media , nonin , True , True 
 Sun Guangxin ,466,"2,014.00","1,989.00", Xinjiang Guanghui Industry Investment Group , founder , energy , new ,51, male , China , CHN , -   , East Asia , self-made finance ,3.4, Financial , True , Diversified financial , nonin , True , True 
 Tamara Gustavson ,466,"2,014.00","1,972.00", Public Storage , relation , self storage , new ,52, female , United States , USA , -   , North America , inherited ,3.4, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Wolfgang Marguerre ,466,"2,014.00","1,983.00", Octapharma , founder , biopharmaceutical , new ,73, male , Germany , DEU , -   , Europe , fnf ,3.4, New Sectors , True , Technology-Medical , nonin , True , True 
 Aloysio de Andrade Faria ,483,"2,014.00","1,925.00", Banco Real , relation , banking , new ,93, male , Brazil , BRA , -   , Latin America , inherited ,3.3, Financial , True , Money Management , father , True , True 
 Antti Herlin ,483,"2,014.00","1,910.00", Kone Corporation , relation ," elevators, escalators, engineering ", aquired ,57, male , Finland , FIN , -   , Europe , inherited ,3.3, Traded Sectors , True , Non-consumer industrial , 4th generation , True , True 
 Clayton Riddell ,483,"2,014.00","1,978.00", Paramount Resources , founder , petroleum , new ,76, male , Canada , CAN , -   , North America , privatized and resources ,3.3, Resource Related , True , Energy , nonin , True , True 
 Daryl Katz ,483,"2,014.00","1,991.00", Katz Group , Chairman and Chief Executive Officer , drug stores , franchise rights ,52, male , Canada , CAN , -   , North America , executive ,3.3, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 David Consunji ,483,"2,014.00","1,954.00", DMCI , founder , construction , new ,92, male , Philippines , PHL , -   , East Asia , fnf ,3.3, Non-Traded Sectors , True , Constrution , nonin , True , True 
 Doris Fisher ,483,"2,014.00","1,969.00", The Gap , founder , clothing  , new ,82, female , United States , USA , -   , North America , fnf ,3.3, Traded Sectors , True , Consumer , nonin , True , True 
 Francis Choi ,483,"2,014.00","1,972.00", Early Light International , founder , toys , new ,66, male , Hong Kong , HKG , -   , East Asia , self-made finance ,3.3, Financial , True , Real Estate , nonin , True , True 
 Fu Liquan ,483,"2,014.00","2,001.00", Zhejiang Dahua Technology , chairman , security and surveillance technology , new ,46, male , China , CHN , -   , East Asia , executive ,3.3, New Sectors , True , Technology-Computer , nonin , True , True 
 Israel Englander ,483,"2,014.00","1,989.00", Millennium Management LLC , founder , hedge funds , new ,65, male , United States , USA , -   , North America , self-made finance ,3.3, Financial , True , Hedge funds , nonin , True , True 
 Jean Pierre Cayard ,483,"2,014.00","1,936.00", La Martiniquaise , relation , wine and spirits , new ,71, male , France , FRA , -   , Europe , inherited ,3.3, Traded Sectors , True , Consumer , father , True , True 
 Marc Benioff ,483,"2,014.00","1,999.00", salesforce.com , founder , cloud computing , new ,49, male , United States , USA , -   , North America , fnf ,3.3, New Sectors , True , Technology-Computer , nonin , True , True 
 Matthias Reimann-Andersen ,483,"2,014.00","1,923.00", Benckiser , relation , consumer goods , aquired ,48, male , Germany , DEU , -   , Europe , inherited ,3.3, Traded Sectors , True , Consumer , father , True , True 
 Mikhail Gutseriev ,483,"2,014.00","2,002.00", Russneft , owner , oil/investments , new ,55, male , Russia , RUS , -   , Europe , privatized and resources ,3.3, Resource Related , True , Energy , nonin , True , True 
 Otto Happel ,483,"2,014.00","1,920.00", GEA Group , relation , food and energy processess , new ,66, male , Germany , DEU , -   , Europe , inherited ,3.3, -   , True , Other , father , True , True 
 Phillip Frost ,483,"2,014.00","1,972.00", Opko Health , Chairman and Chief Executive Officer , pharmaceuticals , aquired ,77, male , United States , USA , -   , North America , executive ,3.3, New Sectors , True , Technology-Medical , nonin , True , True 
 Renate Reimann-Haas ,483,"2,014.00","1,923.00", Benckiser , relation , consumer goods , aquired ,62, female , Germany , DEU , -   , Europe , inherited ,3.3, Traded Sectors , True , Consumer , father , True , True 
 Renzo Rosso ,483,"2,014.00","1,978.00", Diesel , founder , fashion , new ,58, male , Italy , ITA , -   , Europe , fnf ,3.3, Traded Sectors , True , Consumer , nonin , True , True 
 Samuel Yin ,483,"2,014.00", -   , Ruentex Group ,," retail, financial services, real estate ",,63, male , Taiwan , Taiwan , -   , East Asia ,,3.3, Financial , True , Diversified financial , nonin , True , True 
 Sarik Tara ,483,"2,014.00","1,957.00", Enka insaat ve Sanayi , founder , construction , new ,83, male , Turkey , TUR , -   , Middle East/North Africa , fnf ,3.3, Non-Traded Sectors , True , Constrution , nonin , True , True 
 Stefan Reimann-Andersen ,483,"2,014.00","1,923.00", Benckiser , relation , consumer goods , aquired ,50, male , Germany , DEU , -   , Europe , inherited ,3.3, Traded Sectors , True , Consumer , father , True , True 
 Stephan Schmidheiny ,483,"2,014.00","1,912.00", Holcim , relation , construction , new ,66, male , Switzerland , CHE , -   , Europe , inherited ,3.3, Financial , True , Diversified financial , 4th generation , True , True 
 Terrence Pegula ,483,"2,014.00","1,983.00", East Resources , founder , natural gas , new ,63, male , United States , USA , -   , North America , privatized and resources ,3.3, Resource Related , True , Energy , nonin , True , True 
 Wolfgang Reimann ,483,"2,014.00","1,923.00", Benckiser , relation , consumer goods , aquired ,61, male , Germany , DEU , -   , Europe , inherited ,3.3, Traded Sectors , True , Consumer , father , True , True 
 Albert Frere ,490,"2,001.00","1,956.00", Groupe Bruxelles Lambert , founder , steel/banking , aquired ,75, male , Belgium , BEL ,"237,000,000,000.00", Europe , self-made finance ,1, Financial , True , Money Management , nonin , True , True 
 Alberto Vilar ,490,"2,001.00","1,980.00", Amerindo Investment Advisors , founder , investment banking , new , -   , male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,1, Financial , True , Money Management , nonin , True , True 
 Alicia Koplowitz ,490,"2,001.00","1,952.00", Construcciones y Contratas , relation , construction , aquired ,48, female , Spain , ESP ,"626,000,000,000.00", Europe , inherited ,1, Non-Traded Sectors , True , Constrution , father , True , True 
 Amalia Lacroze de Fortabat ,490,"2,001.00","1,926.00", Loma Negra , relation , cement , new , -   , female , Argentina , ARG ,"269,000,000,000.00", Latin America , inherited ,1, Non-Traded Sectors , True , Constrution , spouse/widow , True , True 
 Ananda Krishnan ,490,"2,001.00","1,984.00", Usaha Tegas Sdn Bhd , founder , real estate , new ,62, male , Malaysia , MYS ,"92,783,947,368.00", East Asia , fnf ,1, Non-Traded Sectors , True , Media , nonin , True , True 
 Antonia Johnson ,490,"2,001.00","1,873.00", Axel Johnson Group , relation , trade investment , new ,57, female , Sweden , SWE ,"240,000,000,000.00", Europe , inherited ,1, Financial , True , Money Management , 4th generation , True , True 
 Barry Diller ,490,"2,001.00","1,986.00", IAC  , Chairman and Chief Executive Officer , media , new ,59, male , United States , USA ,"10,600,000,000,000.00", North America , executive ,1, New Sectors , True , Technology-Computer , nonin , True , True 
 Belmiro de Azevedo ,490,"2,001.00","1,959.00", Sonae SGPS , chairman , retail , aquired ,59, male , Portugal , PRT ,"122,000,000,000.00", Europe , executive ,1, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Benjamin de Rothschild ,490,"2,001.00","1,953.00", Edmond de Rothschild Group , relation , banking , new , -   , male , Switzerland , CHE ,"279,000,000,000.00", Europe , inherited ,1, Financial , True , Money Management , 5th generation or longer , True , True 
 Bruce Kovner ,490,"2,001.00","1,983.00", Caxton Associates , founder , commodities trading , new ,55, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,1, Financial , True , Hedge funds , nonin , True , True 
 Charles Simonyi ,490,"2,001.00","1,975.00", Microsoft , head of Microsoft's application software group , software , new ,53, male , United States , USA ,"10,600,000,000,000.00", North America , executive ,1, New Sectors , True , Technology-Computer , nonin , True , True 
 Chey Tae-Won ,490,"2,001.00","1,958.00", SK Corporation , chariman ," petrochemicals, textiles ", new ,40, male , South Korea , KOR ,"533,000,000,000.00", East Asia , inherited ,1, Traded Sectors , True , Consumer , father , True , True 
 David Filo ,490,"2,001.00","1,994.00", Yahoo! , founder , software , new ,34, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,1, New Sectors , True , Technology-Computer , nonin , True , True 
 Dean White ,490,"2,001.00","1,935.00", Whiteco Industries , relation , advertising , new ,77, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,1, Financial , True , Real Estate , father , True , True 
 Donald Schneider ,490,"2,001.00","1,935.00", Schneider National , relation , trucking , new ,65, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,1, -   , True , Other , father , True , True 
 Dorrance Hill Hamilton ,490,"2,001.00","1,869.00", Campbell Soup , relation , soup , aquired , -   , female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,1, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Ernestina Herrera de Noble ,490,"2,001.00","1,945.00", Grupo Clarin , relation , media , new , -   , female , Argentina , ARG ,"269,000,000,000.00", Latin America , inherited ,1, Non-Traded Sectors , True , Media , spouse/widow , True , True 
 Esther Koplowitz ,490,"2,001.00","1,952.00", Construcciones y Contratas , relation , construction , aquired ,50, female , Spain , ESP ,"626,000,000,000.00", Europe , inherited ,1, Non-Traded Sectors , True , Constrution , father , True , True 
 Frank Levinson ,490,"2,001.00","1,988.00", Finisar , founder , data storage , new , -   , male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,1, New Sectors , True , Technology-Computer , nonin , True , True 
 Gabriel Escarrer ,490,"2,001.00","1,956.00", Melia Hotels International , founder , hotels , new ,66, male , Spain , ESP ,"626,000,000,000.00", Europe , fnf ,1, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 George Ying Chow Lien ,490,"2,001.00","1,949.00", Overseas Chinese Union Bank , founder , banking , new , -   , male , Singapore , SGP ,"89,285,087,395.00", East Asia , self-made finance ,1, Financial , True , Money Management , nonin , True , True 
 Gerald Cadogan ,490,"2,001.00","1,712.00", Cadogan Estates , relation , real estate , new , -   , male , United Kingdom , GBR ,"1,530,000,000,000.00", Europe , inherited ,1, Financial , True , Real Estate , 5th generation or longer , True , True 
 German Larrea Mota Velasco ,490,"2,001.00","1,978.00", Grupo Mexio , founder , copper , new ,47, male , Mexico , MEX ,"725,000,000,000.00", Latin America , privatized and resources ,1, Resource Related , True , Mining and metals , nonin , True , True 
 Hope Hill Van Beuren ,490,"2,001.00","1,869.00", Campbell Soup , relation , soup , aquired ,55, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,1, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Jacob and Yehudith Richter ,490,"2,001.00","1,992.00", Medinol , founder , pharmaceuticals , new , -   , married couple , Israel , ISR ,"130,000,000,000.00", Middle East/North Africa , fnf ,1, New Sectors , True , Technology-Medical , nonin , True , True 
 Jacques Servier ,490,"2,001.00","1,954.00", Laboratories Servier , founder , pharmaceuticals , new , -   , male , France , FRA ,"1,380,000,000,000.00", Europe , self-made finance ,1, Financial , True , Diversified financial , nonin , True , True 
 James France ,490,"2,001.00","1,947.00", NASCAR , relation , sports , new ,56, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,1, -   , True , Other , father , True , True 
 Jerome Kohlberg ,490,"2,001.00","1,976.00", Kohberg Kravis Roberts & Co , founder , private equity , new ,75, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,1, Financial , True , Private equity/leveraged buyout , nonin , True , True 
 Jerry Yang ,490,"2,001.00","1,994.00", Yahoo! , founder , software , new ,32, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,1, New Sectors , True , Technology-Computer , nonin , True , True 
 John Doerr ,490,"2,001.00","1,972.00", Kleinter Perkins Caufield & Byers , employee , venture capitalist , new ,50, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,1, Financial , True , Venture Capital , nonin , True , True 
 John Todd ,490,"2,001.00","1,929.00", Todd Energy , relation , oil , new , -   , male , New Zealand , NZL ,"53,872,593,337.00", North America , inherited ,1, Resource Related , True , Energy , 3rd generation , True , True 
 Julian Robertson ,490,"2,001.00","1,980.00", Tiger Management Corp , founder , hedge funds , new ,69, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,1, Financial , True , Hedge funds , nonin , True , True 
 Lee Hon Chiu ,490,"2,001.00","1,920.00", Hysan Development , relation , real estate , new , -   , male , Hong Kong , HKG ,"169,000,000,000.00", East Asia , inherited ,1, Financial , True , Real Estate , father , True , True 
 Malcolm Green Chace III ,490,"2,001.00","1,984.00", First Allied Corporation , founder ," investments/real estate, sports teams ", new , -   , male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,1, Traded Sectors , True , Consumer , nonin , True , True 
 Mark Dixon ,490,"2,001.00","1,989.00", Regus , founder , business centers , new , -   , male , United Kingdom , GBR ,"1,530,000,000,000.00", Europe , fnf ,1, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Michael Lee-Chin ,490,"2,001.00","1,950.00", Otto Group , relation , mail order retail , new ,50, male , Canada , CAN ,"733,000,000,000.00", North America , inherited ,1, Financial , True , Hedge funds , father , True , True 
 Norman Waitt ,490,"2,001.00","1,985.00", Gateway , founder , computers , new , -   , male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,1, Non-Traded Sectors , True , Media , nonin , True , True 
 Onsi Sawiris ,490,"2,001.00","1,950.00", Orascom , founder , construction , new ,71, male , Egypt , EGY ,"97,600,000,000.00", Middle East/North Africa , fnf ,1, Non-Traded Sectors , True , Constrution , nonin , True , True 
 Pincus Green ,490,"2,001.00","1,974.00", Glencore , founder , oil , new ,65, male , Switzerland , CHE ,"279,000,000,000.00", Europe , privatized and resources ,1, Resource Related , True , Energy , nonin , True , True 
 Scott Kriens ,490,"2,001.00","1,996.00", Juniper Networks , CEO , networking equipment , new , -   , male , United States , USA ,"10,600,000,000,000.00", North America , executive ,1, New Sectors , True , Technology-Computer , nonin , True , True 
 Sheldon Adelson ,490,"2,001.00","1,988.00", Las Vegas Sands , founder ,  casinos ,  acquired ,67, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,1, Financial , True , Real Estate , nonin , True , True 
 Shoji Uehara ,490,"2,001.00","1,912.00", Taisho Pharmaceutical , relation , pharmaceuticals , new , -   , male , Japan , JPN ,"4,160,000,000,000.00", East Asia , inherited ,1, New Sectors , True , Technology-Medical , father , True , True 
 Thomas Bailey ,490,"2,001.00","1,969.00", Janus Capital Group , founder , mutual funds , new ,64, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,1, Financial , True , Money Management , nonin , True , True 
 Toichi Takenaka ,490,"2,001.00","1,610.00", Takenaka Corporation , relation , construction , new ,58, male , Japan , JPN ,"4,160,000,000,000.00", East Asia , inherited ,1, Non-Traded Sectors , True , Constrution , 5th generation or longer , True , True 
 Tom Gores ,490,"2,001.00","1,995.00", Platinum Equity , founder , private equity , new ,36, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,1, Financial , True , Private equity/leveraged buyout , nonin , True , True 
 Vinod Khosla ,490,"2,001.00","1,982.00", Sun Microsystems , founder , software , new ,46, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,1, Financial , True , Venture Capital , nonin , True , True 
 Wee Cho Yaw ,490,"2,001.00","1,935.00", United Overseas Bank , relation , banking , new ,72, male , Singapore , SGP ,"89,285,087,395.00", East Asia , inherited ,1, Financial , True , Money Management , father , True , True 
 William France Jr ,490,"2,001.00","1,947.00", NASCAR , relation , sports , new ,68, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,1, -   , True , Other , father , True , True 
 William Hearst III ,490,"2,001.00","1,887.00", Hearst Corporation , relation , media , new ,51, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,1, Non-Traded Sectors , True , Media , 3rd generation , True , True 
" Austen Cargill, II. ",506,"2,014.00","1,865.00", Cargill , relation , food processing/commodities , new ,63, male , United States , USA , -   , North America , inherited ,3.2, Financial , True , Money Management , 3rd generation , True , True 
 Christoffel Wiese ,506,"2,014.00","1,979.00", Shoprite , Exectuitve Director , consumer retail , aquired ,72, male , South Africa , ZAF , -   , Sub-Saharan Africa , executive ,3.2, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Desh Bandhu Gupta ,506,"2,014.00","1,968.00", Lupin Limited , founder , pharmaceuticals , new ,76, male , India , IND , -   , South Asia , fnf ,3.2, New Sectors , True , Technology-Medical , nonin , True , True 
 Frederick Smith ,506,"2,014.00","1,971.00", FedEx , founder , shipping , new ,69, male , United States , USA , -   , North America , fnf ,3.2, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 George Lindemann ,506,"2,014.00","1,972.00"," Vision Cable, Metro Mobile, Southern Union ", Chairman and Chief Executive Officer ," media, pipelines ", new ,77, male , United States , USA , -   , North America , self-made finance ,3.2, Financial , True , Diversified financial , nonin , True , True 
 Gianluigi Aponte ,506,"2,014.00","1,970.00", MSC , founder , shipping , new , -   , male , Switzerland , CHE , -   , Europe , fnf ,3.2, -   , True , Other , nonin , True , True 
 Heidi Horten ,506,"2,014.00","1,936.00", Horten AG , relation , retail , new ,73, female , Austria , AUT , -   , Europe , inherited ,3.2, Non-Traded Sectors , True ," Retail, Restaurant ", spouse/widow , True , True 
 Issad Rebrab ,506,"2,014.00","1,971.00", CEVITAL , founder ," manufacturing (agriculture, steel, electronics) ", new ,70, male , Algeria , DZA , -   , Middle East/North Africa , fnf ,3.2, Traded Sectors , True , Consumer , nonin , True , True 
" James Cargill, II. ",506,"2,014.00","1,865.00", Cargill , relation , food processing/commodities , new ,64, male , United States , USA , -   , North America , inherited ,3.2, Financial , True , Money Management , 3rd generation , True , True 
" Julian Robertson, Jr. ",506,"2,014.00","1,980.00", Tiger Management Corp , founder , hedge funds , new ,82, male , United States , USA , -   , North America , self-made finance ,3.2, Financial , True , Hedge funds , nonin , True , True 
 Liu Yonghao ,506,"2,014.00","1,982.00", New Hope Group , founder , animal feed , new ,62, male , China , CHN , -   , East Asia , fnf ,3.2, Traded Sectors , True , Consumer , nonin , True , True 
 Lu Xiangyang ,506,"2,014.00","1,995.00", BYD , vice chairman , automobiles , new ,51, male , China , CHN , -   , East Asia , executive ,3.2, Traded Sectors , True , Consumer , nonin , True , True 
 Marianne Liebmann ,506,"2,014.00","1,865.00", Cargill , relation , food processing/commodities , new ,60, female , United States , USA , -   , North America , inherited ,3.2, Financial , True , Money Management , 3rd generation , True , True 
 Rafaela Aponte ,506,"2,014.00","1,970.00", MSC , founder , shipping , new , -   , female , Switzerland , CHE , -   , Europe , fnf ,3.2, -   , True , Other , nonin , True , True 
 Spiro Latsis ,506,"2,014.00","1,938.00", EFG International , relation , shipping , new ,67, male , Greece , GRC , -   , Europe , inherited ,3.2, Financial , True , Money Management , father , True , True 
 Victor Pinchuk ,506,"2,014.00","1,983.00", Interpipe , founder , pipelines , new ,53, male , Ukraine , UKR , -   , Europe , privatized and resources ,3.2, Resource Related , True , Non-consumer industrial , nonin , True , True 
 Alexander Svetakov ,520,"2,014.00","1,993.00", Absolut , owner ," banking, real estate ", new ,46, male , Russia , RUS , -   , Europe , self-made finance ,3.1, Financial , True , Money Management , nonin , True , True 
 Andre Esteves ,520,"2,014.00","2,008.00", BTG Pactual , founder , banking , new ,45, male , Brazil , BRA , -   , Latin America , self-made finance ,3.1, Financial , True , Money Management , nonin , True , True 
 Anthony Pritzker ,520,"2,014.00","1,957.00", Hyatt , relation , hotels , aquired ,53, male , United States , USA , -   , North America , inherited ,3.1, Financial , True , Real Estate , father , True , True 
 Antonio Ermirio de Moraes ,520,"2,014.00","1,919.00", Votorantim Group , relation ," metals, paper, cement ", new ,85, male , Brazil , BRA , -   , Latin America , inherited ,3.1, Financial , True , Diversified financial , father , True , True 
 Archie Aldis Emmerson ,520,"2,014.00","1,949.00", Sierra Pacific Industries , founder ," lumber, real estate ", new ,84, male , United States , USA , -   , North America , privatized and resources ,3.1, Resource Related , True , Mining and metals , nonin , True , True 
 Daniel D'Aniello ,520,"2,014.00","1,987.00", Carlyle Group , founder , private equity , new ,67, male , United States , USA , -   , North America , self-made finance ,3.1, Financial , True , Private equity/leveraged buyout , nonin , True , True 
 David Azrieli ,520,"2,014.00","1,985.00", Azrieli Group , founder , shopping centers , new ,91, male , Canada , CAN , -   , North America , self-made finance ,3.1, Financial , True , Real Estate , nonin , True , True 
 David Rubenstein ,520,"2,014.00","1,987.00", Carlyle Group , founder , private equity , new ,64, male , United States , USA , -   , North America , self-made finance ,3.1, Financial , True , Private equity/leveraged buyout , nonin , True , True 
 Eddie & Sol Zakay ,520,"2,014.00", -   , Topland Group , founder , real estate , new ,63, male , United Kingdom , GBR , -   , Europe , self-made finance ,3.1, Financial , True , Real Estate , nonin , True , True 
 Ermirio Pereira de Moraes ,520,"2,014.00","1,919.00", Votorantim Group , relation ," metals, paper, cement ", new ,81, male , Brazil , BRA , -   , Latin America , inherited ,3.1, Financial , True , Diversified financial , father , True , True 
 Hans Peter Wild ,520,"2,014.00","1,931.00", ?Rudolf WILD GmbH & Co. KG , relation , natural flavors , new ,72, male , Germany , DEU , -   , Europe , inherited ,3.1, Traded Sectors , True , Consumer , father , True , True 
 Isaac Perlmutter ,520,"2,014.00","1,998.00", Marvel Entertainment , CEO , media , aquired ,71, male , United States , USA , -   , North America , executive ,3.1, Non-Traded Sectors , True , Media , nonin , True , True 
 James Jannard ,520,"2,014.00","1,975.00"," Oakley, Inc ", founder , apparel and eyewear , new ,64, male , United States , USA , -   , North America , fnf ,3.1, Traded Sectors , True , Consumer , nonin , True , True 
 Jay Robert (J.B.) Pritzker ,520,"2,014.00","1,957.00", Hyatt , relation , hotels , aquired ,49, male , United States , USA , -   , North America , inherited ,3.1, Financial , True , Real Estate , father , True , True 
" Jeremy Jacobs, Sr. ",520,"2,014.00","1,915.00", Delaware North Companies , relation , hospitality and food service , new ,74, male , United States , USA , -   , North America , inherited ,3.1, Traded Sectors , True , Consumer , father , True , True 
 Judy Faulkner ,520,"2,014.00","1,979.00", Epic Systems , founder , healthcare management , new ,70, female , United States , USA , -   , North America , fnf ,3.1, New Sectors , True , Technology-Medical , nonin , True , True 
 Maria Helena Moraes Scripilliti ,520,"2,014.00","1,919.00", Votorantim Group , relation ," metals, paper, cement ", new ,83, female , Brazil , BRA , -   , Latin America , inherited ,3.1, Financial , True , Diversified financial , father , True , True 
 Mohamed Mansour ,520,"2,014.00","1,952.00", Mansour Group , relation , automobiles , new ,66, male , Egypt , EGY , -   , Middle East/North Africa , inherited ,3.1, Financial , True , Diversified financial , father , True , True 
 Mohammed Al Issa ,520,"2,014.00","1,979.00", Savola Group , shareholder , food processing , new ,89, male , Saudi Arabia , SAU , -   , Middle East/North Africa ,,3.1, Financial , True , Diversified financial , nonin , True , True 
 Najib Mikati ,520,"2,014.00","1,982.00", Investcom , founder , telecommunications , new ,58, male , Lebanon , LBN , -   , Middle East/North Africa , privatized and resources ,3.1, Non-Traded Sectors , True , Media , nonin , True , True 
 Peter Kellogg ,520,"2,014.00","1,931.00"," Spear, Leeds & Kellogg ", relation , investment banking , new ,71, male , United States , USA , -   , North America , inherited ,3.1, Financial , True , Diversified financial , father , True , True 
 Roger Wang ,520,"2,014.00","1,992.00", Golden Eagle International Group , founder , retail , new ,65, male , United States , USA , -   , North America , fnf ,3.1, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Shi Yuzhu ,520,"2,014.00","2,005.00", Giant Interactive , founder , software , new ,51, male , China , CHN , -   , East Asia , fnf ,3.1, New Sectors , True , Technology-Computer , nonin , True , True 
 Stanley Druckenmiller ,520,"2,014.00","1,981.00", Duquesne Capital , founder , hedge funds , new ,60, male , United States , USA , -   , North America , self-made finance ,3.1, Financial , True , Hedge funds , nonin , True , True 
 Stelios Haji-Ioannou ,520,"2,014.00","1,995.00", Easy Jet , founder , airline , new ,47, male , Cyprus , CYP , -   , Europe , fnf ,3.1, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Syed Mokhtar AlBukhary ,520,"2,014.00","1,911.00", MMC Corp./DRBHicom , owner ," rice trading, mining, infrastructure ", privatization ,62, male , Malaysia , MYS , -   , East Asia , privatized and resources ,3.1, Financial , True , Diversified financial , nonin , True , True 
 Taha Mikati ,520,"2,014.00","1,982.00", Investcom , founder , telecommunications , new ,69, male , Lebanon , LBN , -   , Middle East/North Africa , privatized and resources ,3.1, Non-Traded Sectors , True , Media , nonin , True , True 
 Theo Mueller ,520,"2,014.00","1,896.00", Muller , relation , dairy products , new ,74, male , Germany , DEU , -   , Europe , executive ,3.1, Traded Sectors , True , Consumer , nonin , True , True 
